iter	Logloss
0	0.6107325073
1	0.5530438948
2	0.5165675533
3	0.4880514791
4	0.4665473225
5	0.4491030339
6	0.4360013046
7	0.4256161097
8	0.4185627357
9	0.4129765394
10	0.4065047271
11	0.402102199
12	0.3981901184
13	0.395102848
14	0.3926291279
15	0.3902658031
16	0.3881528965
17	0.3866036116
18	0.3848111346
19	0.3837967888
20	0.3825739272
21	0.3816217136
22	0.3809110611
23	0.3800306581
24	0.3791360088
25	0.3784250399
26	0.3777936652
27	0.3773303211
28	0.3766419583
29	0.3758053799
30	0.3751032883
31	0.3744897604
32	0.3737281832
33	0.3731602131
34	0.3726762864
35	0.3720675542
36	0.3714720737
37	0.3710397671
38	0.3703657647
39	0.3698551589
40	0.3695319741
41	0.3693007191
42	0.3689872436
43	0.368495329
44	0.3682335139
45	0.3677762156
46	0.3673869697
47	0.3671488535
48	0.3669596863
49	0.366729117
50	0.3664636534
51	0.3662281113
52	0.3659340834
53	0.3657771344
54	0.3656217742
55	0.3652679769
56	0.3650931124
57	0.3648234815
58	0.3645873644
59	0.3644453906
60	0.3642186041
61	0.3639572105
62	0.3638472961
63	0.3636492195
64	0.3633969567
65	0.3631455903
66	0.3628237841
67	0.36258312
68	0.3623545055
69	0.3622587852
70	0.3620063964
71	0.3616987639
72	0.361442092
73	0.3614001509
74	0.361241439
75	0.3611175552
76	0.3610357953
77	0.3608503746
78	0.3606343695
79	0.3604573423
80	0.3602008247
81	0.359877824
82	0.3595878583
83	0.3594144423
84	0.3591407186
85	0.3589799483
86	0.3587416102
87	0.3586408152
88	0.3584265124
89	0.3581302273
90	0.3580045413
91	0.3575398952
92	0.3573184308
93	0.3570094927
94	0.356813808
95	0.3566483181
96	0.3564932491
97	0.3563413114
98	0.3559900103
99	0.3558829413
100	0.355767908
101	0.355532661
102	0.3552818103
103	0.3550171575
104	0.3548722343
105	0.3546199215
106	0.3544932172
107	0.35426954
108	0.3540675812
109	0.3537721011
110	0.3535790078
111	0.3534723925
112	0.3532835088
113	0.3531128599
114	0.352922119
115	0.3528552493
116	0.3526633923
117	0.3523589316
118	0.3520664536
119	0.3517875972
120	0.3515606144
121	0.3512894032
122	0.3511650155
123	0.3508918291
124	0.3506560178
125	0.3505954369
126	0.3505080358
127	0.3503204318
128	0.3501831931
129	0.3499164229
130	0.3497852639
131	0.3495880574
132	0.3493446948
133	0.3491632413
134	0.3489649952
135	0.3488080998
136	0.3486239774
137	0.3484825424
138	0.3482266727
139	0.3480437072
140	0.3478501136
141	0.3477115739
142	0.3476023545
143	0.3473663443
144	0.3471722814
145	0.3470993384
146	0.3467998458
147	0.3466076717
148	0.3463960922
149	0.3462547722
150	0.3459988177
151	0.3458848964
152	0.3456101204
153	0.3454965195
154	0.3453586559
155	0.3451897242
156	0.3451230189
157	0.3450055793
158	0.3449281566
159	0.3446256002
160	0.3444669276
161	0.3443105501
162	0.3440037499
163	0.3438542269
164	0.3437130045
165	0.343543431
166	0.3433453112
167	0.3431655808
168	0.3430429011
169	0.3428190082
170	0.3426501308
171	0.3424237395
172	0.3422163864
173	0.3420884376
174	0.3419194186
175	0.3418747637
176	0.3416799297
177	0.3416223645
178	0.3414389391
179	0.3411280081
180	0.3409705459
181	0.3408560072
182	0.3407195304
183	0.3405805236
184	0.3404639758
185	0.3403216618
186	0.3401744704
187	0.3400496077
188	0.3399022186
189	0.339813746
190	0.339619605
191	0.3395081421
192	0.3394000761
193	0.3391767397
194	0.3390327727
195	0.3389217323
196	0.3388228941
197	0.3386702608
198	0.3385354037
199	0.3383995249
200	0.3382803861
201	0.3381386728
202	0.3379583872
203	0.3378166451
204	0.3377019941
205	0.3376097549
206	0.3375476731
207	0.3374283475
208	0.3372927993
209	0.3371706239
210	0.3369947219
211	0.3368265237
212	0.3367403054
213	0.3364947448
214	0.3364210045
215	0.3363190954
216	0.3361399212
217	0.336010867
218	0.3358388543
219	0.3357475547
220	0.3356358602
221	0.335540772
222	0.3354551041
223	0.3353079252
224	0.3351911494
225	0.3350356348
226	0.3348499292
227	0.3347309816
228	0.3345664984
229	0.3344507795
230	0.334321152
231	0.3342097244
232	0.3340689831
233	0.333875875
234	0.333700179
235	0.3335685244
236	0.3334439903
237	0.3333170141
238	0.3332017842
239	0.3331407371
240	0.3329982783
241	0.3327797094
242	0.3326870201
243	0.3325692538
244	0.3324364565
245	0.3323217885
246	0.332197009
247	0.3320217458
248	0.3319361173
249	0.3318439147
250	0.3317523621
251	0.3316199233
252	0.3315135143
253	0.3314293536
254	0.3312863432
255	0.3311190781
256	0.3310431264
257	0.330900042
258	0.3307720524
259	0.3305082529
260	0.330292076
261	0.3301681215
262	0.3299373177
263	0.3298705403
264	0.3297667129
265	0.3296357066
266	0.3295188703
267	0.3293428448
268	0.3292023085
269	0.329150946
270	0.3290764347
271	0.3289613761
272	0.3289054057
273	0.3287512311
274	0.3286503515
275	0.3284679112
276	0.328405093
277	0.3283326577
278	0.3282323069
279	0.3280278987
280	0.3278589157
281	0.3277453762
282	0.3276316489
283	0.3273918499
284	0.3272715692
285	0.3271564808
286	0.3271159467
287	0.3270092256
288	0.3268126733
289	0.3267615261
290	0.3266020604
291	0.3265190491
292	0.3263632872
293	0.3262400127
294	0.3261477249
295	0.3259916836
296	0.3258802782
297	0.3257739719
298	0.3256404242
299	0.325544043
